source,growth_rate_hr,mean_value,median_value,2.5%,97.5%,quantity,units
Peebo et al. 2015,0.31,357.87577125,353.7655,256.33085,484.158175,rho_cyt,fg/fL
Peebo et al. 2015,0.36,372.3303365,368.85,271.70375,495.928875,rho_cyt,fg/fL
Peebo et al. 2015,0.41,380.724838,377.5555,282.493025,499.547925,rho_cyt,fg/fL
Peebo et al. 2015,0.46,390.08921525,387.09749999999997,294.818875,504.61425,rho_cyt,fg/fL
Peebo et al. 2015,0.51,397.4964075,394.75,305.504975,505.67865,rho_cyt,fg/fL
Peebo et al. 2015,0.25,354.69178275,349.878,248.5711,488.5941,rho_cyt,fg/fL
Peebo et al. 2015,0.35,363.96053725,360.42949999999996,264.72795,486.05895000000004,rho_cyt,fg/fL
Peebo et al. 2015,0.42,369.33428399999997,366.2255,275.22315,483.533175,rho_cyt,fg/fL
Peebo et al. 2015,0.45,378.2664615,375.25300000000004,284.76725,490.98885,rho_cyt,fg/fL
Peebo et al. 2015,0.53,386.28434825000005,383.7315,298.076375,488.68764999999996,rho_cyt,fg/fL
Peebo et al. 2015,0.55,393.63384550000006,391.02599999999995,305.18785,495.53555000000006,rho_cyt,fg/fL
Peebo et al. 2015,0.63,395.6764585,393.2955,314.23265,489.5201,rho_cyt,fg/fL
Peebo et al. 2015,0.65,405.794824,403.5765,323.82642500000003,498.954275,rho_cyt,fg/fL
Peebo et al. 2015,0.73,392.30026875000004,389.79949999999997,318.25492499999996,475.7164,rho_cyt,fg/fL
Peebo et al. 2015,0.74,410.47254724999993,408.0385,333.87224999999995,496.906975,rho_cyt,fg/fL
Peebo et al. 2015,0.78,418.70044425,416.945,341.803925,503.55725,rho_cyt,fg/fL
Peebo et al. 2015,0.82,436.30906875000005,434.8135,358.58135,521.94355,rho_cyt,fg/fL
Schmidt et al. 2016,0.66,372.88187750000003,370.70950000000005,298.41717500000004,457.60825,rho_cyt,fg/fL
Schmidt et al. 2016,0.3,345.22239625,341.1655,246.37060000000002,468.41580000000005,rho_cyt,fg/fL
Schmidt et al. 2016,0.12,331.90412375000005,325.247,221.54535,478.120825,rho_cyt,fg/fL
Schmidt et al. 2016,0.2,332.49919624999995,327.352,228.667425,465.12472500000007,rho_cyt,fg/fL
Schmidt et al. 2016,0.35,333.06056125000003,329.829,242.25215,444.793425,rho_cyt,fg/fL
Schmidt et al. 2016,0.5,350.83810074999997,348.387,268.82367500000004,447.7615,rho_cyt,fg/fL
Schmidt et al. 2016,0.65,373.65407224999996,371.6115,298.177325,459.43525,rho_cyt,fg/fL
Schmidt et al. 2016,0.42,350.69759799999997,347.7455,261.335525,459.133175,rho_cyt,fg/fL
Schmidt et al. 2016,0.26,338.75968649999993,334.323,238.409925,465.3746,rho_cyt,fg/fL
Schmidt et al. 2016,0.46,354.81358900000004,352.0925,268.15790000000004,458.98205,rho_cyt,fg/fL
Schmidt et al. 2016,0.58,374.47406275000003,372.0125,293.24145000000004,468.4301,rho_cyt,fg/fL
Schmidt et al. 2016,0.47,361.34632374999995,358.485,274.092575,465.659775,rho_cyt,fg/fL
Schmidt et al. 2016,1.27,362.21517049999994,359.371,287.560525,454.621825,rho_cyt,fg/fL
Schmidt et al. 2016,1.9,380.24911075,370.8615,249.3139,571.9043750000001,rho_cyt,fg/fL
Schmidt et al. 2016,0.47,352.1655355,349.37699999999995,267.1286,453.828725,rho_cyt,fg/fL
Schmidt et al. 2016,0.55,354.27415175,351.92650000000003,274.67245,445.98660000000007,rho_cyt,fg/fL
Schmidt et al. 2016,0.63,351.86715524999994,349.7495,279.44079999999997,435.32075,rho_cyt,fg/fL
Schmidt et al. 2016,0.4,349.22184450000003,346.21349999999995,258.196,459.72202500000003,rho_cyt,fg/fL
Schmidt et al. 2016,0.44,357.70210849999995,354.743,268.384875,465.489375,rho_cyt,fg/fL
Schmidt et al. 2016,0.55,370.95046974999997,368.49249999999995,287.6012,466.98,rho_cyt,fg/fL
Soufi et al. 2015,0.6931471805599453,333.19091075000006,331.1655,268.292125,406.067125,rho_cyt,fg/fL
