gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP
acpP,s-sector,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>3</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",,,,CP,,notdefined,IQ,COG0236,no
acpS,a-sector,holo-[acyl-carrier-protein] synthase,,,,CP,,Lipid transport and metabolism,I,COG0736,no
acpT,rca-sector,holo-[acyl carrier protein] synthase 2,,,,CP,,Coenzyme transport and metabolism,H,COG2091,no
acrA,ra-sector,multidrug efflux pump membrane fusion lipoprotein AcrA,,,,LPI,transporter,notdefined,MV,COG0845,no
acrB,ra-sector,multidrug efflux pump RND permease AcrB,,,,IM,transporter,Defense mechanisms,V,COG0841,no
acrD,rca-sector,multidrug efflux pump RND permease AcrD,,,,IM,transporter,Defense mechanisms,V,COG0841,no
acrE,rca-sector,multidrug efflux pump membrane fusion lipoprotein AcrE,,,,LPI,lipoprotein,notdefined,MV,COG0845,no
acrF,rca-sector,multidrug efflux pump RND permease AcrF,,,,IM,transporter,Defense mechanisms,V,COG0841,no
acrR,rca-sector,DNA-binding transcriptional repressor AcrR,,,,CP,,Transcription,K,COG1309,no
acrZ,s-sector,multidrug efflux pump accessory protein AcrZ,,,,CP,,notdefined,notdefined,,no
acs,c-sector,acetyl-CoA synthetase (AMP-forming),C-scavenging,catabolism,catabolism,CP,,Lipid transport and metabolism,I,COG0365,yes
actP,s-sector,acetate/glycolate:cation symporter,acetate glycolate transporter,carbon uptake,transport,IM,transporter,Energy production and conversion,C,COG4147,no
ada,rca-sector,DNA-binding transcriptional dual regulator / DNA repair protein Ada,,,,CP,,"Replication, recombination and repair",L,COG0350,no
add,s-sector,adenosine deaminase,,,,CP,,Nucleotide transport and metabolism,F,COG1816,no
adeD,c-sector,adenine deaminase,,,,CP,,Nucleotide transport and metabolism,F,COG1001,no
adeP,rc-sector,adenine:H<sup>+</sup> symporter,,,,IM,membrane protein,Nucleotide transport and metabolism,F,COG2252,no
adeQ,rca-sector,adenine transporter,,,,IM,other,Nucleotide transport and metabolism,F,COG2252,no
adhE,a-sector,aldehyde/alcohol dehydrogenase AdhE,,,,CP,,Energy production and conversion,C,COG1012,no
adhP,rca-sector,ethanol dehydrogenase / alcohol dehydrogenase,,,,CP,,Carbohydrate transport and metabolism,G,COG1064,no
adiA,rca-sector,"arginine decarboxylase, degradative",,,,CP,,Amino acid transport and metabolism,E,COG1982,no
adiC,rca-sector,arginine:agmatine antiporter,,,,IM,other,Amino acid transport and metabolism,E,COG0531,no
adiY,a-sector,DNA-binding transcriptional activator AdiY,,,,CP,,Transcription,K,COG2207,no
adk,ra-sector,adenylate kinase,,,,CP,,Nucleotide transport and metabolism,F,COG0563,no
aegA,rca-sector,putative oxidoreductase Fe-S subunit AegA,,,,CP,,notdefined,ER,COG0493,no
aer,c-sector,"aerotaxis sensor receptor, flavoprotein",,,,IM,other,notdefined,NT,COG0840,yes
aes,s-sector,acetylesterase,,,,CP,,Lipid transport and metabolism,I,COG0657,no
afuB,rc-sector,CP4-6 prophage; ABC transporter membrane protein AfuB,,,,IM,transporter,notdefined,notdefined,,no
afuC,rca-sector,CP4-6 prophage; ABC transporter ATP-binding protein AfuC,,,,CP,,Amino acid transport and metabolism,E,COG3842,no
agaA,rca-sector,putative truncated N-acetylgalactosamine-6-phosphate deacetylase,,,,CP,,notdefined,notdefined,,no
agaB,rca-sector,galactosamine-specific PTS enzyme IIB component,,,,CP,,Carbohydrate transport and metabolism,G,COG3444,no
agaC,rca-sector,galactosamine-specific PTS enzyme IIC component,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG3715,no
agaD,rca-sector,galactosamine-specific PTS enzyme IID component,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG3716,no
agaI,rca-sector,putative deaminase AgaI,,,,CP,,Carbohydrate transport and metabolism,G,COG0363,no
agaR,s-sector,DNA-binding transcriptional repressor AgaR,,,,CP,,notdefined,KG,COG1349,no
agaS,rca-sector,putative galactosamine-6-phosphate deaminase/isomerase,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG2222,no
agaV,s-sector,<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component,,,,CP,,Carbohydrate transport and metabolism,G,COG3444,no
agaW,s-sector,<I>N</I>-acetyl-D-galactosamine specific PTS truncated enzyme IIC component,,,,IM,transporter,notdefined,notdefined,,no
agp,s-sector,glucose-1-phosphatase,,,,PE,other,notdefined,notdefined,,yes
ahpC,s-sector,"alkyl hydroperoxide reductase, AhpC component",,,,CP,,Defense mechanisms,V,COG0450,no
ahpF,ra-sector,"alkyl hydroperoxide reductase, AhpF component",,,,CP,,Defense mechanisms,V,COG3634,no
ahr,s-sector,"aldehyde reductase, NADPH-dependent",,,,CP,,Carbohydrate transport and metabolism,G,COG1064,no
aidB,rca-sector,putative acyl-CoA dehydrogenase AidB,,,,CP,,Lipid transport and metabolism,I,COG1960,no
ais,s-sector,putative lipopolysaccharide core heptose(II)-phosphate phosphatase,,,,CP,,Carbohydrate transport and metabolism,G,COG0406,no
alaA,rca-sector,glutamate&mdash;pyruvate aminotransferase AlaA,,,,CP,,Amino acid transport and metabolism,E,COG0436,no
alaC,rca-sector,glutamate&mdash;pyruvate aminotransferase AlaC,,,,CP,,Amino acid transport and metabolism,E,COG0436,no
alaE,s-sector,G7399-MONOMER,,,,IM,membrane protein,notdefined,notdefined,,no
alaS,r-sector,alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0013,no
aldA,s-sector,aldehyde dehydrogenase A,sugar aldehyde dehydrogenase,catabolism,catabolism,CP,,Energy production and conversion,C,COG1012,yes
aldB,s-sector,aldehyde dehydrogenase B,,,,CP,,Energy production and conversion,C,COG1012,yes
alkA,s-sector,DNA-3-methyladenine glycosylase 2,,,,CP,,"Replication, recombination and repair",L,COG0122,no
alkB,rca-sector,DNA oxidative demethylase,,,,CP,,"Replication, recombination and repair",L,COG3145,no
allA,a-sector,ureidoglycolate lyase,,,,CP,,Nucleotide transport and metabolism,F,COG3194,no
allB,rca-sector,allantoinase,,,,CP,,Nucleotide transport and metabolism,F,COG0044,no
allC,rca-sector,allantoate amidohydrolase,,,,CP,,Amino acid transport and metabolism,E,COG0624,no
allD,rca-sector,ureidoglycolate dehydrogenase,,,,CP,,Energy production and conversion,C,COG2055,no
allE,s-sector,(S)-ureidoglycine aminohydrolase,,,,CP,,Function unknown,S,COG3257,no
allR,a-sector,DNA-binding transcriptional repressor AllR,,,,CP,,Transcription,K,COG1414,no
allS,rca-sector,DNA-binding transcriptional activator AllS,,,,CP,,Transcription,K,COG0583,no
alpA,s-sector,CP4-57 prophage; DNA-binding transcriptional activator AlpA,,,,CP,,notdefined,KX,COG3311,no
alr,ra-sector,alanine racemase 1,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG0787,no
alsA,rca-sector,D-allose ABC transporter ATP binding subunit,,,,CP,,Carbohydrate transport and metabolism,G,COG1129,no
alsB,rca-sector,D-allose ABC transporter periplasmic binding protein,,,,PE,transporter,Carbohydrate transport and metabolism,G,COG1879,no
alsC,s-sector,D-allose ABC transporter membrane subunit,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1172,no
alsE,s-sector,D-allulose-6-phosphate 3-epimerase,,,,CP,,Carbohydrate transport and metabolism,G,COG0036,no
alsK,rca-sector,EG11956-MONOMER,,,,CP,,notdefined,KG,COG1940,no
alx,u-sector,putative membrane-bound redox modulator Alx,,,,IM,membrane protein,Inorganic ion transport and metabolism,P,COG0861,no
amiA,ra-sector,<i>N</i>-acetylmuramoyl-L-alanine amidase A,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG0860,no
amiB,ra-sector,<i>N</i>-acetylmuramoyl-L-alanine amidase B,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG0860,no
amiC,r-sector,<i>N</i>-acetylmuramoyl-L-alanine amidase C,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG0860,no
amiD,a-sector,<i>N</i>-acetylmuramoyl-L-alanine amidase D,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG3023,no
amn,s-sector,AMP nucleosidase,,,,CP,,Nucleotide transport and metabolism,F,COG0775,yes
ampC,s-sector,&beta;-lactamase,,,,PE,other,Defense mechanisms,V,COG1680,no
ampD,s-sector,"1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase",,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG3023,no
ampE,ra-sector,protein AmpE,,,,IM,membrane protein,Defense mechanisms,V,COG3725,no
ampG,rc-sector,muropeptide:H<sup>+</sup> symporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG2223,no
ampH,s-sector,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,,,,IM,other,Defense mechanisms,V,COG1680,no
amtB,a-sector,ammonia/ammonium transporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG0004,no
amyA,c-sector,ALPHA-AMYL-CYTO-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG0366,no
anmK,s-sector,anhydro-<i>N</i>-acetylmuramic acid kinase,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG2377,no
ansA,r-sector,L-asparaginase 1,,,,CP,,notdefined,JU,COG0252,no
ansB,rca-sector,L-asparaginase 2,,,,PE,other,notdefined,JU,COG0252,yes
ansP,r-sector,ANSP-MONOMER,,,,IM,transporter,Amino acid transport and metabolism,E,COG1113,no
apaG,s-sector,DUF525 domain-containing protein ApaG,,,,CP,,Inorganic ion transport and metabolism,P,COG2967,no
apaH,s-sector,diadenosine tetraphosphatase,,,,CP,,Signal transduction mechanisms,T,COG0639,no
aphA,s-sector,acid phosphatase / phosphotransferase,,,,PE,other,notdefined,PR,COG3700,no
appA,s-sector,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,,,,PE,other,notdefined,notdefined,,no
appB,rca-sector,cytochrome <i>bd</i>-II ubiquinol oxidase subunit II,,,,IM,other,Energy production and conversion,C,COG1294,no
appC,rca-sector,cytochrome <i>bd</i>-II ubiquinol oxidase subunit I,,,,IM,other,Energy production and conversion,C,COG1271,no
appX,rca-sector,small protein AppX,,,,CP,,notdefined,notdefined,,no
appY,s-sector,DNA-binding transcriptional activator AppY,,,,CP,,Transcription,K,COG2207,no
apt,ra-sector,adenine phosphoribosyltransferase,,,,CP,,Nucleotide transport and metabolism,F,COG0503,no
aqpZ,rca-sector,water channel AqpZ,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG0580,no
araA,rca-sector,L-arabinose isomerase,,,,CP,,Carbohydrate transport and metabolism,G,COG2160,no
araB,s-sector,ribulokinase,,,,CP,,Carbohydrate transport and metabolism,G,COG1069,yes
araC,rca-sector,DNA-binding transcriptional dual regulator AraC,,,,CP,,General function prediction only,R,COG1917,yes
araD,rca-sector,L-ribulose-5-phosphate 4-epimerase AraD,,,,CP,,Carbohydrate transport and metabolism,G,COG0235,no
araE,rca-sector,arabinose:H<sup>+</sup> symporter,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2814,yes
araF,s-sector,arabinose ABC transporter periplasmic binding protein,,,,PE,transporter,Carbohydrate transport and metabolism,G,COG1879,yes
araG,s-sector,arabinose ABC transporter ATP binding subunit,,,,CP,,Carbohydrate transport and metabolism,G,COG1129,no
araH,rca-sector,arabinose ABC transporter membrane subunit,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1172,no
araJ,ra-sector,putative transport protein AraJ,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2814,yes
arcA,s-sector,"Phosphorylated DNA-binding transcriptional dual regulator ArcA // ""DNA-binding transcriptional dual regulator ArcA""",,,,CP,,notdefined,TK,COG0745,no
arcB,s-sector,"sensory histidine kinase ArcB - his292 phosphorylated // ""sensory histidine kinase ArcB - asp576 phosphorylated"" // ""sensory histidine kinase ArcB - his717 phosphorylated"" // ""sensory histidine kinase ArcB""",,,,IM,other,Signal transduction mechanisms,T,COG0784,no
arfA,rca-sector,alternative ribosome-rescue factor A,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG3036,no
arfB,ra-sector,"peptidyl-tRNA hydrolase, ribosome rescue factor",,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1186,no
argA,a-sector,N-acetylglutamate synthase,,,,CP,,Amino acid transport and metabolism,E,COG0548,no
argB,ra-sector,acetylglutamate kinase,,,,CP,,Amino acid transport and metabolism,E,COG0548,no
argC,a-sector,N-ACETYLGLUTPREDUCT-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0002,no
argD,ra-sector,<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,,,,CP,,Amino acid transport and metabolism,E,COG4992,no
argE,a-sector,acetylornithine deacetylase,,,,CP,,Amino acid transport and metabolism,E,COG0624,no
argF,rca-sector,CP4-6 prophage; ornithine carbamoyltransferase ArgF,,,,CP,,Amino acid transport and metabolism,E,COG0078,no
argG,a-sector,argininosuccinate synthetase,,,,CP,,Amino acid transport and metabolism,E,COG0137,yes
argH,a-sector,ARGSUCCINLYA-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0165,no
argI,s-sector,ornithine carbamoyltransferase ArgI,,,,CP,,Amino acid transport and metabolism,E,COG0078,no
argK,rca-sector,methylmalonyl-CoA mutase-interacting GTPase YgfD,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1703,no
argO,rca-sector,L-arginine exporter,,,,IM,transporter,Amino acid transport and metabolism,E,COG1279,no
argP,a-sector,DNA-binding transcriptional dual regulator ArgP,,,,CP,,Transcription,K,COG0583,no
argR,a-sector,DNA-binding transcriptional dual regulator ArgR,,,,CP,,Transcription,K,COG1438,no
argS,r-sector,arginine&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0018,no
argT,s-sector,lysine/arginine/ornithine ABC transporter periplasmic binding protein,arginine/lysine/ornithine transporter,aminio acid uptake,transport,PE,transporter,notdefined,ET,COG0834,yes
ariR,rca-sector,"regulator of acid resistance, influenced by indole",,,,CP,,notdefined,notdefined,,no
arnA,s-sector,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0223,no
arnB,rca-sector,G7166-MONOMER,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG0399,no
arnC,s-sector,G7167-MONOMER,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG0463,no
arnD,s-sector,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,,,,CP,,notdefined,GM,COG0726,no
arnE,s-sector,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit,,,,IM,other,Defense mechanisms,V,COG2076,no
arnF,s-sector,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit,,,,IM,membrane protein,notdefined,notdefined,,no
arnT,s-sector,G7170-MONOMER,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG1807,no
aroA,a-sector,AROA-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0128,no
aroB,ra-sector,AROB-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0337,no
aroC,a-sector,chorismate synthase,,,,CP,,Amino acid transport and metabolism,E,COG0082,no
aroD,s-sector,3-dehydroquinate dehydratase,,,,CP,,Amino acid transport and metabolism,E,COG0710,no
aroE,ra-sector,AROE-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0169,no
aroF,u-sector,"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",,,,CP,,Amino acid transport and metabolism,E,COG0722,no
aroG,a-sector,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",,,,CP,,Amino acid transport and metabolism,E,COG0722,no
aroH,r-sector,"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive",,,,CP,,Amino acid transport and metabolism,E,COG0722,no
aroK,rca-sector,shikimate kinase 1,,,,CP,,Amino acid transport and metabolism,E,COG0703,no
aroL,rc-sector,shikimate kinase 2,,,,CP,,Amino acid transport and metabolism,E,COG0703,no
aroM,rca-sector,protein AroM,,,,CP,,notdefined,notdefined,,yes
aroP,u-sector,aromatic amino acid:H<sup>+</sup> symporter AroP,,,,IM,transporter,Amino acid transport and metabolism,E,COG1113,no
arpA,rca-sector,regulator of acetyl CoA synthetase,,,,CP,,notdefined,notdefined,,no
arpB_1,rca-sector,,,,,CP,,notdefined,notdefined,,no
arpB_2,rca-sector,,,,,CP,,notdefined,notdefined,,no
arsB,rca-sector,arsenite/antimonite:H<sup>+</sup> antiporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG1055,no
arsC,s-sector,EG12237-MONOMER,,,,CP,,Inorganic ion transport and metabolism,P,COG1393,no
arsR,a-sector,DNA-binding transcriptional repressor ArsR,,,,CP,,Transcription,K,COG0640,no
artI,ra-sector,putative ABC transporter periplasmic binding protein ArtI,,,,PE,transporter,notdefined,ET,COG0834,no
artJ,a-sector,L-arginine ABC transporter periplasmic binding protein,,,,PE,transporter,notdefined,ET,COG0834,no
artM,ra-sector,L-arginine ABC transporter membrane subunit ArtM,,,,IM,transporter,Amino acid transport and metabolism,E,COG4160,no
artP,ra-sector,L-arginine ABC transporter ATP binding subunit,,,,CP,,Amino acid transport and metabolism,E,COG4161,no
artQ,ra-sector,L-arginine ABC transporter membrane subunit ArtQ,,,,IM,transporter,Amino acid transport and metabolism,E,COG4215,no
ascB,rca-sector,6-phospho-&beta;-glucosidase AscB,,,,CP,,Carbohydrate transport and metabolism,G,COG2723,no
ascF,rca-sector,&beta;-glucoside specific PTS enzyme IIBC component,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1263,yes
ascG,rca-sector,DNA-binding transcriptional repressor AscG,,,,CP,,Transcription,K,COG1609,no
asd,a-sector,aspartate-semialdehyde dehydrogenase,,,,CP,,Amino acid transport and metabolism,E,COG0136,no
aslA,rca-sector,putative sulfatase AslA,,,,PE,other,Inorganic ion transport and metabolism,P,COG3119,no
aslB,rca-sector,putative anaerobic sulfatase maturation enzyme AslB,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0641,no
asmA,rca-sector,putative assembly protein AsmA,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG2982,no
asnA,s-sector,asparagine synthetase A,,,,CP,,Amino acid transport and metabolism,E,COG2502,no
asnB,s-sector,asparagine synthetase B,,,,CP,,Amino acid transport and metabolism,E,COG0367,no
asnC,c-sector,DNA-binding transcriptional dual regulator AsnC,,,,CP,,Transcription,K,COG1522,no
asnS,u-sector,asparagine&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0017,no
aspA,s-sector,aspartate ammonia-lyase,Aspartate to fumerate glutamate degradation,catabolism,catabolism,CP,,Amino acid transport and metabolism,E,COG1027,yes
aspC,a-sector,aspartate aminotransferase,,,,CP,,Amino acid transport and metabolism,E,COG1448,no
aspS,ra-sector,aspartate&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0173,no
asr,rca-sector,acid shock protein,,,,PE,other,notdefined,notdefined,,no
astA,rca-sector,ARGSUCCTRAN-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG3138,no
astB,rca-sector,<i>N</i>-succinylarginine dihydrolase,,,,CP,,Amino acid transport and metabolism,E,COG3724,no
astC,s-sector,succinylornithine transaminase,,,,CP,,Amino acid transport and metabolism,E,COG4992,no
astD,rca-sector,aldehyde dehydrogenase,,,,CP,,Energy production and conversion,C,COG1012,no
astE,s-sector,SUCCGLUDESUCC-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG2988,no
atl,s-sector,DNA base-flipping protein,,,,CP,,Transcription,K,COG3695,no
atoA,rca-sector,acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;,,,,CP,,Lipid transport and metabolism,I,COG2057,no
atoB,rca-sector,acetyl-CoA acetyltransferase,,,,CP,,Lipid transport and metabolism,I,COG0183,no
atoC,s-sector,"phosphorylated DNA-binding transcriptional activator AtoC // ""DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC""",,,,CP,,Signal transduction mechanisms,T,COG2204,no
atoD,rca-sector,acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;,,,,CP,,Lipid transport and metabolism,I,COG1788,no
atoE,rca-sector,short chain fatty acid transporter,,,,IM,transporter,Lipid transport and metabolism,I,COG2031,no
atoS,s-sector,sensory histidine kinase AtoS,,,,IM,other,Signal transduction mechanisms,T,COG3852,no
atpA,u-sector,ATP synthase F<sub>1</sub> complex subunit &alpha;,,,,CP,,Energy production and conversion,C,COG0056,no
atpB,c-sector,ATP synthase F<sub>o</sub> complex subunit a,,,,IM,other,Energy production and conversion,C,COG0356,no
atpC,r-sector,ATP synthase F<sub>1</sub> complex subunit &epsilon;,,,,CP,,Energy production and conversion,C,COG0355,no
atpD,u-sector,ATP synthase F<sub>1</sub> complex subunit &beta;,,,,CP,,Energy production and conversion,C,COG0055,no
atpE,c-sector,ATP synthase F<sub>o</sub> complex subunit c,,,,IM,other,notdefined,notdefined,,no
atpF,c-sector,ATP synthase F<sub>o</sub> complex subunit b,,,,IM,other,Energy production and conversion,C,COG0711,no
atpG,u-sector,ATP synthase F<sub>1</sub> complex subunit &gamma;,,,,CP,,Energy production and conversion,C,COG0224,no
atpH,u-sector,ATP synthase F<sub>1</sub> complex subunit &delta;,,,,CP,,Energy production and conversion,C,COG0712,no
atpI,rca-sector,ATP synthase accessory factor,,,,IM,other,Energy production and conversion,C,COG3312,yes
avtA,a-sector,valine&mdash;pyruvate aminotransferase,,,,CP,,Amino acid transport and metabolism,E,COG3977,no
azoR,a-sector,FMN dependent NADH:quinone oxidoreductase,,,,CP,,Energy production and conversion,C,COG1182,no
azuC,ra-sector,uncharacterized protein AzuC,,,,CP,,notdefined,notdefined,,no
bacA,ra-sector,undecaprenyl pyrophosphate phosphatase,,,,IM,other,Lipid transport and metabolism,I,COG1968,no
baeR,s-sector,"Phosphorylated DNA-binding transcriptional activator BaeR // ""DNA-binding transcriptional activator BaeR""",,,,CP,,notdefined,TK,COG0745,no
baeS,s-sector,"sensory histidine kinase BaeS - phosphorylated // ""sensory histidine kinase BaeS""",,,,IM,other,Signal transduction mechanisms,T,COG3850,no
bamA,s-sector,outer membrane protein assembly factor BamA,,,,OM,other,Cell wall/membrane/envelope biogenesis,M,COG4775,no
bamB,s-sector,outer membrane protein assembly factor BamB,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG1520,no
bamC,rca-sector,outer membrane protein assembly factor BamC,,,,LPO,lipoprotein,Function unknown,S,COG3317,no
bamD,s-sector,outer membrane protein assembly factor BamD,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG4105,no
bamE,s-sector,outer membrane protein assembly factor BamE,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG2913,no
barA,s-sector,"sensory histidine kinase BarA - his816 phosphorylated // ""sensory histidine kinase BarA - his302 phosphorylated"" // ""sensory histidine kinase BarA - asp718 phosphorylated"" // ""sensory histidine kinase BarA""",,,,IM,other,Signal transduction mechanisms,T,COG2198,no
basR,s-sector,"Phosphorylated DNA-binding transcriptional dual regulator BasR // ""DNA-binding transcriptional dual regulator BasR""",,,,CP,,notdefined,TK,COG0745,no
basS,s-sector,"sensory histidine kinase BasS - phosphorylated // ""sensory histidine kinase BasS""",,,,IM,other,Signal transduction mechanisms,T,COG0642,no
bax,rca-sector,putative glycoside hydrolase Bax,,,,PE,other,General function prediction only,R,COG2992,no
