source,condition,growth_rate_hr,phi_cyto,phi_mem,phi_peri,phi_rib
Peebo et al. 2015,rich,0.73,0.7947908405874723,0.11136498730605551,0.07448964179664513,0.1653793239542479
Peebo et al. 2015,rich,0.74,0.8174469003281147,0.11819101323989101,0.0462248358161997,0.1805334752530951
Peebo et al. 2015,rich,0.78,0.8312420029047856,0.11379068583133672,0.036443531423132315,0.18839739062311736
Peebo et al. 2015,rich,0.82,0.8451915771233107,0.12320091335905231,0.015047469472415956,0.2094364238285379
Schmidt et al. 2016,42C,0.66,0.8540082674997526,0.09314144107450457,0.03631551098437875,0.1095065067793666
Schmidt et al. 2016,acetate,0.3,0.8381878779296213,0.0923303183842622,0.05218917754930559,0.06017054573482967
Schmidt et al. 2016,chemostat_u0.12,0.12,0.7986152884522181,0.11118093659592251,0.07185278540554915,0.05366989799075826
Schmidt et al. 2016,chemostat_u0.2,0.2,0.7963961934901639,0.11064246392975378,0.07452819117238844,0.05811337447965717
Schmidt et al. 2016,chemostat_u0.35,0.35,0.7970724875089498,0.11294956625269822,0.07137148224167096,0.06461320777803671
Schmidt et al. 2016,chemostat_u0.5,0.5,0.8183809993594432,0.10986691274158644,0.05337997419913427,0.08609006032526216
Schmidt et al. 2016,fructose,0.65,0.8480923840602922,0.09118874294307805,0.04318327263102602,0.11205448828672969
Schmidt et al. 2016,fumarate,0.42,0.8166144029407252,0.09816644974068076,0.06547808691275155,0.08174565652100556
Schmidt et al. 2016,galactose,0.26,0.7990873015871974,0.09567028973623384,0.08652203586442642,0.06740483653809967
Schmidt et al. 2016,glucosamine,0.46,0.814221977434768,0.1096976906962278,0.05639283244974005,0.0906039080337533
Schmidt et al. 2016,glucose,0.58,0.8434110649682898,0.09814838226292973,0.041094100759512316,0.11137768626313452
Schmidt et al. 2016,glycerol,0.47,0.8256891495276896,0.10125084655510688,0.05498288187906009,0.09522258575795473
Schmidt et al. 2016,glycerol_pAA,1.27,0.8395138239323774,0.09840273076921126,0.043069251328437946,0.13739292124976943
Schmidt et al. 2016,lb_miller,1.9,0.8637515028771855,0.08909705941171217,0.02851360351403566,0.18899659216430703
Schmidt et al. 2016,mannose,0.47,0.8256346424039631,0.09060356093971797,0.06505145440684462,0.08263660037236518
Schmidt et al. 2016,osmotic_stress_glucose,0.55,0.8132645743750974,0.11911060377846534,0.05182691077278534,0.09688592935038708
Schmidt et al. 2016,pH6,0.63,0.8121804050820682,0.11469579606888385,0.05568493145681457,0.09833362438344162
Schmidt et al. 2016,pyruvate,0.4,0.8206661496748172,0.09575912530121984,0.05913899722724309,0.07481348801426456
Schmidt et al. 2016,succinate,0.44,0.8241190248249912,0.09434885315821034,0.06138379139378036,0.08834885998656274
Schmidt et al. 2016,xylose,0.55,0.8422493064153839,0.10195270537282919,0.03850653524949054,0.10492658153654912
Soufi et al. 2015,M9_glucose,0.6931471805599453,0.8212860001843638,0.1103785767830999,0.0625606776086369,0.07535199586968304
Valgepea et al. 2013,glucose_minimal,0.11,0.8249639695097438,0.041521026069640206,0.10636972672420394,0.0818046296352968
Valgepea et al. 2013,glucose_minimal,0.21,0.8445743506352207,0.03933994697347934,0.08737562485670154,0.0895698538616396
Valgepea et al. 2013,glucose_minimal,0.31,0.8542032556195345,0.03924971505468604,0.07748940587441945,0.1090917165156368
Valgepea et al. 2013,glucose_minimal,0.4,0.8679400172585541,0.03711386859659061,0.06779967024102015,0.1240401995181194
Valgepea et al. 2013,glucose_minimal,0.49,0.8783420362875065,0.034346903212645864,0.06025562007092104,0.143001538660301
