source,condition,growth_rate_hr,strain,replicate,phi_cyt,phi_rib,phi_mem,phi_peri
Schmidt et al. 2016,glycerol,0.47,BW25113,0,0.8256891495276895,0.09522258575795474,0.10125084655510688,0.05480966830129159
Schmidt et al. 2016,glycerol_pAA,1.27,BW25113,0,0.8395138239323774,0.13739292124976943,0.09840273076921127,0.042925264415868414
Schmidt et al. 2016,lb_miller,1.9,BW25113,0,0.8637515028771854,0.188996592164307,0.08909705941171217,0.028462352529956984
Schmidt et al. 2016,mannose,0.47,BW25113,0,0.8256346424039631,0.0826366003723652,0.09060356093971797,0.06485441458944566
Schmidt et al. 2016,osmotic_stress_glucose,0.55,BW25113,0,0.8132645743750975,0.09688592935038706,0.11911060377846534,0.05157218204570182
Schmidt et al. 2016,pH6,0.63,BW25113,0,0.8121804050820682,0.0983336243834416,0.11469579606888385,0.055545671241222845
Schmidt et al. 2016,pyruvate,0.4,BW25113,0,0.8206661496748172,0.07481348801426455,0.09575912530121983,0.05903605629290442
Schmidt et al. 2016,succinate,0.44,BW25113,0,0.8241190248249912,0.08834885998656274,0.09434885315821034,0.06120848007505729
Schmidt et al. 2016,xylose,0.55,BW25113,0,0.8422493064153838,0.1049265815365491,0.10195270537282919,0.038407995169759596
Soufi et al. 2015,M9_glucose,0.6931471805599453,BW25113,0,0.8212860001843638,0.07535199586968302,0.11037857678309988,0.062407114480329325
This Study,LB,2.2690638773791805,NCM3722,1,0.8251186514938087,0.2864114214864838,0.11363433967089798,0.030524582081522204
This Study,LB,2.272564591054877,NCM3722,2,0.8481475278428395,0.32273917805041197,0.09697123598544724,0.026561310453480327
This Study,acetate,0.3537727536958663,NCM3722,1,0.7486762126101854,0.11191903032100789,0.10985666444321084,0.10720598707745702
This Study,acetate,0.3851859922434523,NCM3722,2,0.7340233240309432,0.1165653664391429,0.11193699341407462,0.11691729692438814
This Study,glucose,0.859140850644779,NCM3722,1,0.8000256261668071,0.17886632447142184,0.11385846256031448,0.06313327021468304
This Study,glucose,0.8840892213949152,NCM3722,2,0.7778877193578392,0.19301410228042482,0.1271929249805021,0.07100639396257345
This Study,glucose+acetate,0.7000527193406471,NCM3722,2,0.780957018297417,0.18663684787732293,0.12847253470771863,0.06571226946189311
This Study,glucose+acetate,0.853688624955644,NCM3722,1,0.7927336405205188,0.1773643765021992,0.12031029847896388,0.06282219094065536
This Study,glucoseCAA,1.3028032663667155,NCM3722,2,0.8036635321855896,0.2146760574253641,0.11692580504715908,0.05077080418034072
This Study,glucoseCAA,1.4771279192381863,NCM3722,1,0.8049814615972284,0.2024358409275961,0.11443822109901526,0.054075766030333663
This Study,glycerol,0.6323276248776727,NCM3722,2,0.7627017195733304,0.165689127932587,0.11447627521319814,0.08313739089490293
This Study,glycerol,0.6737871653670506,NCM3722,1,0.7634375137646265,0.1558391572212695,0.11493188789023441,0.08162190828906614
This Study,sorbitol,0.608803125485576,NCM3722,2,0.7556100358764146,0.16264533745201398,0.11303952414334213,0.08991596150107872
This Study,sorbitol,0.6189821322967243,NCM3722,1,0.7614081191763913,0.152751532811954,0.11203725710871609,0.0854750596383233
Valgepea et al. 2013,glucose_minimal,0.11,MG1655,0,0.8249639695097438,0.0818046296352968,0.041521026069640206,0.09990914222257403
Valgepea et al. 2013,glucose_minimal,0.21,MG1655,0,0.8445743506352207,0.08956985386163961,0.03933994697347934,0.08714238657614466
Valgepea et al. 2013,glucose_minimal,0.31,MG1655,0,0.8542032556195344,0.10909171651563679,0.03924971505468604,0.07709063279505374
Valgepea et al. 2013,glucose_minimal,0.4,MG1655,0,0.8679400172585541,0.12404019951811938,0.03711386859659061,0.06733946376643567
Valgepea et al. 2013,glucose_minimal,0.49,MG1655,0,0.8783420362875065,0.14300153866030102,0.03434690321264586,0.059747666038799045
